Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,80.90680563,81.97516024,86.17398694,86.52165628,86.40548555,89.60208511,89.47078041,90.31176729,91.64899519,95.46366297,94.94992448,97.58856986,97.2901864,96.20311068,99.2574797,103.8107041,99.93303975,107.5116134,110.5725298,114.2393359,110.4665674,114.3422988,117.0101131,121.4946059,128.8450885,127.5806205,130.6874927,132.2294683,134.8062659,135.945727,148.2553733,147.9796437,153.143094,154.2428953,159.8255997,168.3246725,174.0115194,180.3964522,187.6593575,195.5901166,200.2996269,208.0405396,218.9350592,224.1071499,237.7131636,255.9235488,260.8802861,257.8738895,273.3400233,272.0765721,292.4872195,297.1183563,,
Bulgaria,BGR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,2228.687051,2262.786549,2378.253739,2463.244052,2665.45943,2780.331763,2954.266739,3084.452042,3200.498984,3203.610097,3185.509537,3309.206425,3370.132324,3387.274223,3419.767677,3450.941716,3411.073395,3488.292754,3426.942205,3216.956904,2593.622798,2394.69457,2588.557466,2518.113254,2745.160223,2745.502597,2505.671804,2437.147534,2230.758767,2276.852166,2419.771111,2410.069245,2489.508188,2439.636737,2599.191734,2696.782642,2665.005118,2647.462081,2337.239452,2393.891423,2592.516177,2493.235003,2353.457726,2500.000739,2637.667685,2606.776829,2732.292654,2764.470883,2771.102544,2664.55153,2918.138283,2968.113559,,
Bahrain,BHR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,6105.905961,5651.877429,7969.849601,8435.544421,7528.927458,9130.274656,7936.206737,7734.970096,8797.194409,7814.554095,8308.298797,9046.810842,8412.640658,8664.461862,9669.714517,9967.039074,9238.286803,10171.4962,9913.779063,10576.13752,10671.7945,11504.984,11627.98539,12068.56989,11537.60057,11566.16349,12331.24573,12558.24384,12575.78614,12833.27212,12648.08851,12214.68658,11894.94847,11271.21389,11975.42824,11582.02057,11533.99347,11593.79717,10432.89675,10317.976,10624.38722,9996.521962,11219.43393,10257.02534,10405.63907,9878.66505,9444.423939,9533.855383,10388.18902,10832.91852,10666.05741,10701.79276,0,
Bahamas (The),BHS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338.572335,,,,,,,,,,,,,,1954.19416,2023.879451,2026.551848,2006.599988,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.483381,1416.829001,1050.616781,949.2891189,385.2078108,402.1387224,450.3577235,670.543669,818.9031874,802.3299472,1044.830328,1004.95066,1052.107688,1052.768156,1161.362258,1230.3223,1304.394554,1321.601297,1510.20925,1602.531751,1700.483733,1909.670286,1821.212221,1787.392464,1682.312878,1755.043771,1945.254758,1966.742964,2205.400194,2157.71633,2152.730189,2267.260889,2270.726376,,
Belarus,BLR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4457.43794,4341.556997,3619.908214,3078.216141,2618.946154,2431.099781,2506.796377,2511.702849,2472.955755,2419.748191,2471.644249,2496.018115,2560.501258,2652.439814,2760.116261,2776.998471,2974.245534,2925.852884,2939.405974,2789.003141,2895.61081,3081.680181,3219.426534,2870.325803,2923.576821,2660.140268,2639.094863,2692.583449,2849.294773,2748.968837,2673.865486,2929.275337,2862.487035,,
Belize,BLZ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.1852782,,,,,,,,,,,,,,570.5073467,575.5529419,597.4753194,601.1482607,,,,,,,,,,,,,,,,,
Bermuda,BMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,217.4183304,234.9919121,243.0143375,254.4430784,288.2076418,308.5437523,322.4295365,341.5902951,367.6559254,424.4729028,435.7978088,448.3266114,416.2317492,406.3095563,392.7622099,363.5564494,329.798651,337.3937972,351.8813148,360.6635205,363.5201786,377.2340874,396.453819,430.2199735,474.6176973,520.9435579,560.0607157,557.8897608,536.5488373,424.497393,444.5702114,520.021917,524.193208,523.1921786,567.4965362,568.3699583,570.3375549,572.2612931,586.2842861,625.4984284,660.3999336,703.7634018,699.3636753,757.5471325,748.8599455,778.9652301,800.8881837,803.1278906,795.5427455,657.7454692,757.8631665,798.2932201,,
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,713.9631476,746.8582844,799.0085396,830.1565972,846.390273,867.5266823,875.4088273,909.5341974,944.37218,939.3080431,880.3704573,874.9251939,876.9400067,913.1848438,954.528215,978.804887,996.8886774,991.2213656,992.720291,942.3171822,943.2635457,937.4314628,945.4891018,980.074665,998.7773747,1035.825554,1072.294614,1082.218104,1091.294959,1081.361934,1086.992993,1103.401279,1107.973916,1157.169056,1173.715857,1202.059339,1257.183699,1314.444672,1258.83931,1381.001236,1386.56124,1429.55235,1483.682318,1517.770555,1477.711356,1411.50091,1428.636713,1400.217361,1412.607298,1375.831632,1426.923566,1428.992534,1477.285051,
Barbados,BRB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.207787,,,,,,,,,,,,,,1402.928567,1451.400415,1474.063155,1478.133939,,,,,,,,,,,,,,,,,
